,class_name,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM,buggy
296,SimpleSourceExcerptProvider,2,1,5,1,1,0,0,1,1,14.0,13,4.333333333333333,0
297,ErrorCode,1,1,1,0,1,0,0,1,1,7.0,12,6.0,0
298,Protocol,20,12,34,0,3,1,0,1,14,10.55,219,6.84375,0
299,AbstractWebServiceException,3,0,7,0,1,0,0,1,1,12.333333333333334,15,15.0,0
300,ClosureReverseAbstractInterpreter,20,7,73,0,3,4,0,2,7,11.1,58,1.3488372093023255,1
301,FlowScope,6,0,0,0,0,0,0,0,7,15.5,238,0.0,0
302,SemanticReverseAbstractInterpreter,25,7,161,0,46,17,0,22,12,14.52,253,1.6012658227848102,1
303,ChainableReverseAbstractInterpreter,76,8,175,1,16,7,1,6,22,15.486842105263158,643,4.592857142857143,1
304,ReverseAbstractInterpreter,1,0,0,0,0,0,0,0,2,39.0,110,0.0,0
305,JsFileParser,5,8,32,0,16,7,0,2,11,11.2,245,8.75,0
306,DepsGenerator,20,12,122,0,9,7,0,3,13,18.25,337,4.109756097560975,0
307,JsFileLineParser,7,11,50,0,33,10,3,1,15,12.0,286,5.017543859649122,0
308,JsFunctionParser,4,7,24,0,9,4,0,1,9,9.75,117,4.5,0
309,PathUtil,6,2,48,0,12,6,1,4,7,13.5,424,12.848484848484848,0
310,DependencyInfo,4,0,4,0,0,0,0,0,5,14.25,53,0.0,0
311,SimpleDependencyInfo,6,4,13,1,3,1,0,2,6,11.833333333333334,109,9.083333333333334,0
312,DepsFileParser,4,5,32,0,11,4,1,1,11,10.5,242,12.1,0
313,SortedDependencies,12,4,98,0,5,7,1,3,7,16.833333333333332,220,3.333333333333333,0
314,JsDocInfoParser,62,20,776,0,347,99,1,18,54,18.080645161290324,1087,1.3096385542168674,1
315,ParserRunner,7,6,41,0,15,1,0,1,2,12.142857142857142,40,1.0256410256410255,0
316,JsDocTokenStream,20,19,55,0,69,16,0,23,5,11.35,59,0.3206521739130434,0
317,TypeSafeDispatcher,44,0,57,0,55,9,4,42,1,19.204545454545453,51,0.9272727272727272,0
318,JsDocToken,0,0,0,0,0,0,0,0,1,0.0,11,0.0,0
319,IRFactory,85,19,541,0,8,9,1,86,8,17.564705882352943,224,0.5079365079365079,1
320,Config,1,6,6,0,5,2,0,1,9,20.0,78,7.090909090909091,0
321,NullErrorReporter,7,0,7,1,1,0,0,1,1,8.285714285714286,11,2.2,0
322,Annotation,0,1,54,0,0,0,0,0,1,0.0,11,0.0,0
